file,para_id,text
TranscriptFY26Q1.docx,0,"Microsoft FY26 First Quarter Earnings Conference Call Jonathan Neilson, Satya Nadella, Amy Hood Wednesday October 29, 2025"
TranscriptFY26Q1.docx,1,"JONATHAN NEILSON: Good afternoon and thank you for joining us today. On the call with me are Satya Nadella, chairman and chief executive officer, Amy Hood, chief financial officer, Alice Jolla, chief accounting officer, and Keith Dolliver, corporate secretary and deputy general counsel."
TranscriptFY26Q1.docx,2,"You can find our earnings press release and financial summary slide deck, which is intended to supplement our prepared remarks during today’s call and provides the reconciliation of differences between GAAP and non-GAAP financial measures on the Microsoft Investor Relations website. More detailed outlook slides will be available on the Microsoft Investor Relations website."
TranscriptFY26Q1.docx,3,On this call we will discuss certain non-GAAP items. The non-GAAP financial measures provided should not be considered as a substitute for or superior to the measures of financial performance prepared in accordance with GAAP. They are included as additional clarifying items to aid investors in further understanding the company's first quarter performance in addition to the impact these items and events have on the financial results.
TranscriptFY26Q1.docx,4,"All growth comparisons we make on the call today relate to the corresponding period of last year unless otherwise noted. We will also provide growth rates in constant currency, when available, as a framework for assessing how our underlying businesses performed, excluding the effect of foreign currency rate fluctuations. Where growth rates are the same in constant currency, we will refer to the growth rate only."
TranscriptFY26Q1.docx,5,"We will post our prepared remarks to our website. Today's call is being recorded. If you ask a question, it will be included in our live transmission, in the transcript, and in any future use of the recording. You can replay the call and view the transcript on the Microsoft Investor Relations website."
TranscriptFY26Q1.docx,6,"During this call, we will be making forward-looking statements which are predictions, projections, or other statements about future events. These statements are based on current expectations and assumptions that are subject to risks and uncertainties. Actual results could materially differ because of factors discussed in today's earnings press release, in the comments made during this conference call, and in the risk factor section of our Form 10-K, Forms 10-Q, and other reports and filings with the Securities and Exchange Commission. We do not undertake any duty to update any forward-looking statement."
TranscriptFY26Q1.docx,7,"And with that, I’ll turn the call over to Satya."
TranscriptFY26Q1.docx,8,It was a very strong start to our fiscal year.
TranscriptFY26Q1.docx,9,"Microsoft Cloud revenue surpassed $49 billion, up 26% year over year."
TranscriptFY26Q1.docx,10,"And our commercial RPO increased over 50% to nearly $400 billion, with a weighted average duration of only two years."
TranscriptFY26Q1.docx,11,"We are seeing increasing demand and diffusion of our AI platform and family of Copilots, which is fueling our investments across both capital and talent."
TranscriptFY26Q1.docx,12,"When it comes to infrastructure, we are building a planet-scale cloud and AI factory, maximizing tokens per dollar per watt, while supporting the sovereignty needs of customers and countries."
TranscriptFY26Q1.docx,13,"We are innovating rapidly across our family of Copilots spanning the high value domains of information work, coding, security, science, health, and consumer."
TranscriptFY26Q1.docx,14,"And, as you saw yesterday, we closed a new definitive agreement with OpenAI, marking the next chapter in what is one of the most successful partnerships and investments our industry has ever seen."
TranscriptFY26Q1.docx,15,This is a great milestone for both companies. And we continue to benefit mutually from each other’s growth across multiple dimensions.
TranscriptFY26Q1.docx,16,"Already, we have roughly 10Xed our investment; OpenAI has contracted an incremental $250 billion of Azure services; Our rev share, exclusive IP rights and API exclusivity for Azure continue until AGI or through 2030, and we have extended the model and product IP rights through 2032."
TranscriptFY26Q1.docx,17,And we are also energized to innovate and pursue AI advancements with both talent and compute investments that have real-world impact.
TranscriptFY26Q1.docx,18,"With that, let’s turn to our momentum across our AI platform, and Copilots as well as with agents."
TranscriptFY26Q1.docx,19,"We have the most expansive datacenter fleet for the AI era, and we are adding capacity at an unprecedented scale."
TranscriptFY26Q1.docx,20,"We will increase our total AI capacity by over 80% this year, and roughly double our total datacenter footprint over the next two years, reflecting the demand signals we see."
TranscriptFY26Q1.docx,21,"Just this quarter, we announced the world’s most powerful AI datacenter, Fairwater in Wisconsin, which will go online next year and scale to two gigawatts alone."
TranscriptFY26Q1.docx,22,And we have deployed the world’s first large scale cluster of NVIDIA GB300s.
TranscriptFY26Q1.docx,23,"We are building a fungible fleet that is being continuously modernized and spans all stages of the AI lifecycle, from pre-training to post-training, to synthetic data generation and inference – and it also goes beyond genAI workloads to recommendation engines, databases, and streaming."
TranscriptFY26Q1.docx,24,"We are optimizing this fleet across silicon, systems, and software to maximize performance and efficiency."
TranscriptFY26Q1.docx,25,It is this combination of fungibility and continuous optimization that allows us to deliver the best ROI and TCO for us and our customers.
TranscriptFY26Q1.docx,26,"For example, during the quarter, we increased the token throughput for GPT-4.1 and GPT-5, two of the most widely used models, by over 30% per GPU."
TranscriptFY26Q1.docx,27,We also have the most comprehensive digital sovereignty platform.
TranscriptFY26Q1.docx,28,Azure customers in 33 countries are now developing their own cloud and AI capabilities within their borders to meet local data residency requirements.
TranscriptFY26Q1.docx,29,"In Germany, for example, OpenAI and SAP will rely on Azure to deliver new AI solutions to the public sector."
TranscriptFY26Q1.docx,30,"On top of this infrastructure, we are building Azure AI Foundry to help customers build their own AI apps and agents."
TranscriptFY26Q1.docx,31,"We have 80,000 customers, including 80% of the Fortune 500."
TranscriptFY26Q1.docx,32,"We offer developers and enterprise access to over 11,000 models, more than any other vendor, including as of this quarter OpenAI’s GPT-5, as well as xAI’s Grok 4."
TranscriptFY26Q1.docx,33,"For example, Ralph Lauren used Foundry to build a conversational shopping experience in its app, enabling customers to describe what they are looking for and get personalized recommendations."
TranscriptFY26Q1.docx,34,"And OpenEvidence used Foundry to create its AI-powered clinical assistant, which surfaces relevant medical information to physicians and helps streamline charting."
TranscriptFY26Q1.docx,35,"When it comes to our first party models, we are excited by the performance of our new MAI models for text, voice, and image generation, which debuted among the top on the industry leaderboards."
TranscriptFY26Q1.docx,36,"And we continue to make great progress with our Phi family of SLMs, which now have been downloaded over 60 million times, up 3X year over year."
TranscriptFY26Q1.docx,37,"Beyond models, in Foundry, we are providing everything developers need to design, customize and manage AI applications and agents, at scale."
TranscriptFY26Q1.docx,38,"Our new Microsoft Agent Framework helps developers orchestrate multi-agent systems, with compliance, observability, and deep integration out of the box."
TranscriptFY26Q1.docx,39,"For example, KPMG used the Framework to modernize the audit process, connecting agents to internal data, with enterprise-grade governance and observability."
TranscriptFY26Q1.docx,40,"These kinds of real, production-scale AI deployments are driving Azure’s overall growth."
TranscriptFY26Q1.docx,41,"And once again this quarter, Azure took share."
TranscriptFY26Q1.docx,42,"Now, let’s turn to applications and agents we ourselves are building on this platform."
TranscriptFY26Q1.docx,43,We now have 900 million monthly active users of our AI features across our products.
TranscriptFY26Q1.docx,44,"And our first party family of Copilots now has surpassed 150 million monthly active users across information work, coding, security, science, health, and consumer."
TranscriptFY26Q1.docx,45,"When it comes to information work, we continue to innovate with Microsoft 365 Copilot."
TranscriptFY26Q1.docx,46,Copilot is becoming the UI for the agentic AI experience.
TranscriptFY26Q1.docx,47,"We have integrated chat and agentic workflows into everyday tools like Outlook, Word, Excel, PowerPoint, and Teams."
TranscriptFY26Q1.docx,48,"Just nine months since release, tens of millions of users across Microsoft 365 customer base are already using Chat."
TranscriptFY26Q1.docx,49,"Adoption is accelerating rapidly, growing 50% quarter over quarter, and we continue to see usage intensity increase."
TranscriptFY26Q1.docx,50,"This quarter, we also introduced Agent Mode, which turns single prompts into expert-quality Word docs, Excel spreadsheets, and PowerPoint presentations, and then iterate to deliver the final product, much like Agent Mode in coding tools today."
TranscriptFY26Q1.docx,51,"We are thrilled by the early response, including third-party benchmarks that rank it best in class."
TranscriptFY26Q1.docx,52,"Beyond individual productivity, Copilot is multi-player."
TranscriptFY26Q1.docx,53,"With Teams Mode, announced this week, you can now invite colleagues into your Copilot conversations."
TranscriptFY26Q1.docx,54,"And our collaborative agents like Facilitator and Project Manager prep meeting agendas, take notes, capture decisions, kick off group tasks."
TranscriptFY26Q1.docx,55,"We are seeing a growing Copilot agent ecosystem, with top ISVs like Adobe, Asana, Jira, LexisNexis, SAP, ServiceNow, Snowflake, and Workday all building their own agents that connect to Copilot."
TranscriptFY26Q1.docx,56,"And customers are also building agents for their mission critical business processes and workflows using tools like Copilot Studio, and integrating them into Copilot."
TranscriptFY26Q1.docx,57,The overall number of Agent users doubled quarter over quarter.
TranscriptFY26Q1.docx,58,"And, just yesterday, we announced App Builder, a new Copilot agent that lets anyone create and deploy task-specific apps and agents in minutes, grounded in Microsoft 365 context."
TranscriptFY26Q1.docx,59,All this innovation is driving our momentum.
TranscriptFY26Q1.docx,60,Customers continue to adopt Microsoft 365 Copilot at a faster rate than any other new Microsoft 365 suite.
TranscriptFY26Q1.docx,61,"All up, more than 90% of the Fortune 500 now use Microsoft 365 Copilot."
TranscriptFY26Q1.docx,62,"Accenture, Bristol Myers Squibb, EY Global, and the UK’s tax, payment & customs authority all purchased over 15,000 seats this quarter."
TranscriptFY26Q1.docx,63,"Lloyds Banking Group has deployed 30,000 seats, saving each employee an average of 46 minutes daily."
TranscriptFY26Q1.docx,64,And a large majority of our enterprise customers continue to come back to purchase more seats.
TranscriptFY26Q1.docx,65,"Our partner PwC alone added 155,000 seats this quarter, and now has over 200,000 deployed across its global operations."
TranscriptFY26Q1.docx,66,"In just six months, PwC employees interacted with Microsoft 365 Copilot over 30 million times, and they credit this agentic transformation with saving millions of hours in employee productivity."
TranscriptFY26Q1.docx,67,"When it comes to coding, GitHub Copilot is the most popular AI pair programmer, now with over 26 million users."
TranscriptFY26Q1.docx,68,"For example, tens of thousands of developers at AMD use GitHub Copilot, accepting hundreds of thousands of lines of code suggestions each month and crediting it with saving months of development time."
TranscriptFY26Q1.docx,69,"All up, GitHub is now home to over 180 million developers, and the platform is growing at the fastest rate in its history – adding a developer every second."
TranscriptFY26Q1.docx,70,80% of new developers on GitHub start with Copilot within their first week.
TranscriptFY26Q1.docx,71,"Overall, the rise of AI coding agents is driving record usage, with over 500 million pull requests merged over the past year."
TranscriptFY26Q1.docx,72,"And just yesterday at GitHub Universe, we introduced “Agent HQ.” GitHub Copilot and Agent HQ is the organizing layer for all coding agents, extending the GitHub primitives, like PRs, Issues, and Actions, to coding agents from OpenAI, Anthropic, Google, Cognition, xAI, as well as OSS and in-house models."
TranscriptFY26Q1.docx,73,"GitHub now provides a single mission control to launch, manage, and review these agents, each operating from its own branch with built-in controls, observability, and governance."
TranscriptFY26Q1.docx,74,"We’re building a similar system in security, with over three dozen agents in Copilot integrated across Entra, Defender, Purview, and Intune."
TranscriptFY26Q1.docx,75,"For example, with our phishing triage agent in Defender, studies show that analysts can be up to 6.5 times more efficient in detecting malicious mails."
TranscriptFY26Q1.docx,76,"In health, Dragon Copilot helps providers automate critical workflows."
TranscriptFY26Q1.docx,77,"This quarter alone, we helped document over 17 million patient encounters, up nearly 5X year-over-year."
TranscriptFY26Q1.docx,78,"More than 650 healthcare organizations have purchased our ambient listening tech to date, including University of Michigan Health where over 1,000 physicians are actively using it."
TranscriptFY26Q1.docx,79,"Finally, when it comes to AI consumer experiences, we are excited about all the progress Copilot is making, starting with Windows."
TranscriptFY26Q1.docx,80,Every Windows 11 PC now is an AI PC.
TranscriptFY26Q1.docx,81,"Just two weeks ago, we introduced new ways to speak naturally to your computer, including a Copilot wake word."
TranscriptFY26Q1.docx,82,"With Vision, Copilot sees what you see on your screen, and you can have a real-time conversation about it."
TranscriptFY26Q1.docx,83,"And with Actions, it takes real action on your behalf, interacting with both web and desktop apps."
TranscriptFY26Q1.docx,84,"In Edge, we are introducing first of its kind AI features to automate multi-step workflows within the browser, and help you pick up right where you left off."
TranscriptFY26Q1.docx,85,Edge now has taken share for 18 consecutive quarters.
TranscriptFY26Q1.docx,86,"In Bing, our overview pages now include embedded conversational capabilities. We took share again in search."
TranscriptFY26Q1.docx,87,And daily users of our Copilot consumer app increased nearly 50% quarter over quarter.
TranscriptFY26Q1.docx,88,"Among many updates we made last week is Groups, which turns Copilot for the first time into a shared experience."
TranscriptFY26Q1.docx,89,"We are also creating a great consumer subscription offer, with Microsoft 365 Premium."
TranscriptFY26Q1.docx,90,"It brings together our Office applications and advanced Copilot features with high usage limits, giving individuals the flexibility to bring their own AI to work in a secure way."
TranscriptFY26Q1.docx,91,"Finally, in Gaming, Copilot provides a voice-first, immersive experience across PC, mobile, and our new Xbox Ally."
TranscriptFY26Q1.docx,92,"Beyond our family of Copilots and AI platform, we are seeing strong momentum across the portfolio."
TranscriptFY26Q1.docx,93,"In data & analytics, Fabric revenue grew 60%, which is faster than any other data and analytics platform in the industry."
TranscriptFY26Q1.docx,94,"We now have 28,000 paid Fabric customers."
TranscriptFY26Q1.docx,95,"In databases, SQL DB Hyperscale revenue was up nearly 75%."
TranscriptFY26Q1.docx,96,"In biz applications, Dynamics 365 gained share."
TranscriptFY26Q1.docx,97,"In security, our end-to-end stack is now informed by 100 trillion daily signals."
TranscriptFY26Q1.docx,98,One billion monthly active users of Entra.
TranscriptFY26Q1.docx,99,"16 billion Copilot interactions audited by Purview, up 72% quarter over quarter."
TranscriptFY26Q1.docx,100,And we took share across all categories we serve in security.
TranscriptFY26Q1.docx,101,"In LinkedIn, nearly 1.3 billion members."
TranscriptFY26Q1.docx,102,"And finally, in gaming, we expanded our reach across every endpoint, focused on our higher margin content & services."
TranscriptFY26Q1.docx,103,"We launched critically acclaimed games like Keeper, Ninja Gaiden 4, and The Outer Worlds 2."
TranscriptFY26Q1.docx,104,"Reaching 155 million monthly active users of Minecraft, an all time high."
TranscriptFY26Q1.docx,105,And set a new record for overall content and services revenue for the quarter.
TranscriptFY26Q1.docx,106,We also saw a great response to the Xbox Ally launch two weeks ago.
TranscriptFY26Q1.docx,107,And set a new records for players on PC.
TranscriptFY26Q1.docx,108,"In closing, our planet-scale cloud and AI factory, together with Copilots across high value domains, is driving broad diffusion and real-world impact."
TranscriptFY26Q1.docx,109,And we continue to increase our investments in AI across both capital and talent to meet the massive opportunity ahead.
TranscriptFY26Q1.docx,110,"With that, let me turn it over to Amy to walk through our financial results and outlook."
TranscriptFY26Q1.docx,111,I look forward to rejoining you after for questions.
TranscriptFY26Q1.docx,112,"AMY HOOD: Thank you, Satya, and good afternoon everyone. First, as you heard from Satya, we were pleased to announce the next phase of our partnership with OpenAI yesterday. They continue to choose Microsoft to power their workloads, and together, we remain committed to driving innovation that meets real world needs. Our Q1 results were not impacted by the deal signed this week."
TranscriptFY26Q1.docx,113,"Now, on to the quarter. We delivered a strong start to our fiscal year, exceeding expectations across revenue, operating income and earnings per share. We also saw continued share gains across many of our businesses demonstrating our leadership position in key markets."
TranscriptFY26Q1.docx,114,"This quarter, revenue was $77.7 billion, up 18% and 17% in constant currency. Gross margin dollars increased 18% and 16% in constant currency while operating income increased 24% and 22% in constant currency. And earnings per share was $4.13, an increase of 23% and 21% in constant currency, when adjusted for the impact of our investments in OpenAI. FX impact was roughly in line with guidance."
TranscriptFY26Q1.docx,115,"Company gross margin percentage was 69%, down slightly year-over-year driven by investments in AI, including the impact of scaling our AI infrastructure and the growing usage of our AI product features. This was partially offset by ongoing efficiency gains, particularly in Azure and M365 Commercial cloud."
TranscriptFY26Q1.docx,116,"Operating expenses increased 5% and 4% in constant currency driven by investments in cloud and AI engineering, including compute capacity and AI talent to support product development across the portfolio. Operating margins increased year-over-year to 49% and were ahead of expectations with stronger than anticipated results in high margin businesses this quarter."
TranscriptFY26Q1.docx,117,"When adjusted for the impact from our investments in OpenAI, other income and expense was $401 million as interest income more than offset interest expense which includes the interest payments related to datacenter finance leases."
TranscriptFY26Q1.docx,118,"Capital expenditures were $34.9 billion driven by growing demand for our cloud and AI offerings. This quarter, roughly half of our spend was on short-lived assets, primarily GPUs and CPUs, to support increasing Azure platform demand, growing first-party apps and AI solutions, accelerating R&D by our product teams, as well as continued replacement for end-of-life server and networking equipment. The remaining spend was for long-lived assets that will support monetization for the next 15 years and beyond, including $11.1 billion of finance leases that are primarily for large datacenter sites. And cash paid for P, P, and E was $19.4 billion. As a reminder, the difference between total capex and cash paid for P, P, and E is primarily due to finance leases, as well as the normal timing of goods received but not yet paid."
TranscriptFY26Q1.docx,119,"Cash flow from operations was $45.1 billion, up 32% driven by strong cloud billings and collections, partially offset by higher supplier payments. And free cash flow increased 33% to $25.7 billion, with minimal impact from the sequential increase in capex given the higher mix of finance leases."
TranscriptFY26Q1.docx,120,"And finally, we returned $10.7 billion to shareholders through dividends and share repurchases."
TranscriptFY26Q1.docx,121,"Commercial bookings increased 112% and 111% in constant currency and were significantly ahead of expectations, driven by Azure commitments from OpenAI as well as continued growth in the number of 100-million-dollar-plus contracts for both Azure and M365. These results do not include any impact from the incremental $250 billion Azure commitments from OpenAI announced yesterday."
TranscriptFY26Q1.docx,122,"Commercial remaining performance obligation increased to $392 billion and was up 51% year-over-year. The balance has nearly doubled over the past two years. And even with this growth, our weighted average duration has been relatively stable at approximately 2 years."
TranscriptFY26Q1.docx,123,"Microsoft Cloud revenue was $49.1 billion, ahead of expectations, and grew 26% and 25% in constant currency. Microsoft Cloud gross margin percentage was slightly better than expected at 68%, and down year-over-year due to the investments in AI that were partially offset by ongoing efficiency gains as noted earlier."
TranscriptFY26Q1.docx,124,Revenue from Productivity and Business Processes was $33 billion and grew 17% and 14% in constant currency.
TranscriptFY26Q1.docx,125,"M365 commercial cloud revenue increased 17% and 15% in constant currency with 1 point of benefit from in-period revenue recognition. Year-over-year growth was driven by both ARPU and seats, with ARPU growth again led by E5 and M365 Copilot. Paid M365 commercial seats grew 6% year-over-year with installed base expansion across all customer segments, though primarily in our small and medium business and frontline worker offerings."
TranscriptFY26Q1.docx,126,"M365 commercial products revenue increased 17% and 14% in constant currency, ahead of expectations due to higher-than-expected Office 2024 transactional purchasing."
TranscriptFY26Q1.docx,127,"M365 consumer cloud revenue increased 26% and 25% in constant currency, again driven by ARPU growth. M365 consumer subscriptions grew 7% to over 90 million."
TranscriptFY26Q1.docx,128,LinkedIn revenue increased 10% and 9% in constant currency driven by Marketing Solutions. The Talent Solutions business was impacted by continued weakness in the hiring market.
TranscriptFY26Q1.docx,129,Dynamics 365 revenue increased 18% and 16% in constant currency with continued growth across all workloads.
TranscriptFY26Q1.docx,130,"Segment gross margin dollars increased 19% and 16% in constant currency. And gross margin percentage increased, driven by efficiency gains in M365 Commercial cloud that were partially offset by investments in AI, including the impact of growing usage in M365 Copilot Chat. Operating expenses increased 6% and 5% in constant currency and operating income increased 24% and 20% in constant currency. Operating margins increased 3 points year-over-year to 62% driven by the higher gross margin noted earlier as well as improved operating leverage."
TranscriptFY26Q1.docx,131,"Next, the Intelligent Cloud segment. Revenue was $30.9 billion and grew 28% and 27% in constant currency."
TranscriptFY26Q1.docx,132,"In Azure and other cloud services, where we continue to see accelerating demand, revenue grew 40% and 39% in constant currency. Results were ahead of expectations, driven by better than expected growth in our core infrastructure business, primarily from our largest customers. Azure AI services revenue was generally in line with expectations. And this quarter, demand again exceeded supply across workloads even as we brought more capacity online."
TranscriptFY26Q1.docx,133,"In our on-premises server business, revenue increased 1% and was relatively unchanged in constant currency. Results were ahead of expectations driven by transactional purchasing of Windows Server 2025."
TranscriptFY26Q1.docx,134,"Segment gross margin dollars increased 20% and 19% in constant currency. And gross margin percentage decreased year-over-year driven by investments in AI that were partially offset by efficiency gains in Azure. Operating expenses increased 4% and operating income grew 27%. Operating margins were 43%, down only slightly year-over-year, as increased investments in AI were mostly offset by improved operating leverage."
TranscriptFY26Q1.docx,135,Now to More Personal Computing. Revenue was $13.8 billion and grew 4%.
TranscriptFY26Q1.docx,136,"Windows OEM and Devices revenue increased 6% year-over-year, significantly ahead of expectations, driven by strong demand ahead of Windows 10 end of support as well as a benefit from inventory levels that remained elevated."
TranscriptFY26Q1.docx,137,Search and news advertising revenue ex-TAC increased 16% and 15% in constant currency driven by growth in volume as well as a continued benefit from third-party partnerships that was better-than-expected.
TranscriptFY26Q1.docx,138,"And in Gaming, revenue decreased 2% and 3% in constant currency. Against a strong prior year comparable, Xbox content and services revenue increased 1% and was relatively unchanged in constant currency, driven by better-than-expected performance from third-party content."
TranscriptFY26Q1.docx,139,Segment gross margin dollars increased 11% and 10% in constant currency. And gross margin percentage increased year-over-year driven by sales mix shift to higher margin businesses. Operating expenses increased 4% and 3% in constant currency and operating income increased 18% and 16% in constant currency. Operating margins increased 3 points year-over-year to 30% driven by the higher gross margin noted earlier.
TranscriptFY26Q1.docx,140,"Now, moving to our Q2 outlook, which unless specifically noted otherwise, is on a US dollar basis."
TranscriptFY26Q1.docx,141,"Based on current rates, we expect FX to increase total revenue growth by 2 points. Within the segments, we expect FX to increase revenue growth by 2 points in Productivity and Business Processes and Intelligent Cloud and 1 point in More Personal Computing. We expect FX to increase COGS and operating expense growth by 1 point."
TranscriptFY26Q1.docx,142,"Starting with the total company. We expect revenue of $79.5 to $80.6 billion or growth of 14% to 16%. We expect COGS of $26.35 to $26.55 billion, or growth of 21% to 22%. And operating expense of $17.3 to $17.4 billion or growth of 7% to 8%. Operating margins should be relatively flat year-over-year and down sequentially aligned with historic seasonality."
TranscriptFY26Q1.docx,143,"Now, other income and expense. The combination of OpenAI’s conversion to a public benefit corp and the ongoing nature of our partnership will result in increased volatility. Therefore, going forward, we will provide our outlook excluding any impact from our investments in OpenAI. On that basis, in Q2, other income and expense is estimated to be roughly $100 million as interest income will more than offset interest expense."
TranscriptFY26Q1.docx,144,And we expect our Q2 effective tax rate to be approximately 19%.
TranscriptFY26Q1.docx,145,"Next, capital expenditures. With accelerating demand and a growing RPO balance, we’re increasing our spend on GPUs and CPUs. Therefore, total spend will increase sequentially, and we now expect the FY26 growth rate to be higher than FY25. As a reminder, there can be quarterly spend variability from cloud infrastructure buildouts and the timing of delivery of finance leases."
TranscriptFY26Q1.docx,146,"In commercial bookings, we expect healthy growth in the core business on a low expiry base when adjusted for the OpenAI contracts in the prior year. And we expect commercial bookings will be positively impacted by the significant OpenAI commitments announced yesterday. As a reminder, larger long-term Azure contracts, which are more unpredictable in their timing, drive increased quarterly volatility in our bookings growth rate."
TranscriptFY26Q1.docx,147,"Microsoft Cloud gross margin percentage should be roughly 66%, down year-over-year driven by the continued investments in AI as well as the mix shift to Azure."
